trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,False,"{'a': 0.0075, 'e': 0.9575260011840507}",20,14,-9.614751241226404,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.0075, 'e': 0.955336489125606}",25,0,-132.11210589940058,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.0075, 'e': 0.9530932396415428}",30,0,-125.37099986174437,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
42,False,"{'a': 0.0075, 'e': 0.9507963789140532}",20,0,-150.1914525322947,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
43,False,"{'a': 0.0075, 'e': 0.9484460361409476}",30,0,-140.59030882012473,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
44,False,"{'a': 0.0075, 'e': 0.946042343528387}",20,5,-76.19855179513635,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
45,False,"{'a': 0.0075, 'e': 0.9435854362834473}",30,0,-102.88437349191494,"{0: 23, 1: 3, 2: 1, 3: 1, 4: 2}",0
46,False,"{'a': 0.0075, 'e': 0.941075452606513}",20,0,-46.57178805849151,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
47,False,"{'a': 0.0075, 'e': 0.9385125336835043}",25,0,-136.46928862129855,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
48,False,"{'a': 0.0075, 'e': 0.9358968236779348}",25,0,-63.19091396791439,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.0075, 'e': 0.9332284697228027}",20,5,-43.57681016097408,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
50,False,"{'a': 0.0075, 'e': 0.9305076219123143}",35,0,-149.62323403937285,"{0: 23, 1: 5, 2: 3, 3: 2, 4: 2}",0
51,False,"{'a': 0.0075, 'e': 0.9277344332934415}",20,6,-78.59740504961337,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
52,False,"{'a': 0.0075, 'e': 0.9249090598573131}",25,0,-138.2547954999233,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
53,False,"{'a': 0.0075, 'e': 0.9220316605304396}",30,0,-117.98958628996988,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.0075, 'e': 0.9191023971657748}",25,0,-103.69415918730247,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
55,False,"{'a': 0.0075, 'e': 0.9161214345336103}",20,0,-94.74878922074322,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
56,False,"{'a': 0.0075, 'e': 0.9130889403123083}",35,0,-156.8450727703393,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
57,False,"{'a': 0.0075, 'e': 0.9100050850788691}",20,14,0.6561651651494356,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.0075, 'e': 0.9068700422993367}",25,0,-93.91301181277133,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
59,False,"{'a': 0.0075, 'e': 0.9036839883190404}",20,3,-11.88598436998681,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.0075, 'e': 0.900447102352677}",20,0,-73.92646613369345,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.0075, 'e': 0.8971595664742282}",30,3,-80.70445766517112,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 1}",1
62,False,"{'a': 0.0075, 'e': 0.8938215656067205}",25,0,-95.87952759416297,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
63,False,"{'a': 0.0075, 'e': 0.8904332875118228}",20,0,-110.49431586182374,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
64,False,"{'a': 0.0075, 'e': 0.8869949227792842}",20,0,-13.263500990278906,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.0075, 'e': 0.8835066648162144}",20,0,-133.51868067577539,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
66,False,"{'a': 0.0075, 'e': 0.8799687098362042}",25,0,-67.17651256461826,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.0075, 'e': 0.8763812568482883}",30,14,-6.0576529193944975,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.0075, 'e': 0.8727445076457513}",20,0,-71.56964683279759,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
69,False,"{'a': 0.0075, 'e': 0.869058666794777}",20,0,-155.66647633466542,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
70,False,"{'a': 0.0075, 'e': 0.8653239416229412}",20,0,-42.63287122281217,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.0075, 'e': 0.8615405422075505}",25,0,-112.64529873293779,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
72,False,"{'a': 0.0075, 'e': 0.8577086813638242}",20,2,-67.65704226557152,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
73,False,"{'a': 0.0075, 'e': 0.8538285746329243}",25,0,-100.45100012542466,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
74,False,"{'a': 0.0075, 'e': 0.8499004402698316}",25,13,-15.89596083837674,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.0075, 'e': 0.8459244992310679}",25,0,-56.01886800168555,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
76,False,"{'a': 0.0075, 'e': 0.8419009751622688}",20,0,-75.09942644541113,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
77,False,"{'a': 0.0075, 'e': 0.8378300943856019}",20,8,-63.204089610703676,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 1}",1
78,False,"{'a': 0.0075, 'e': 0.8337120858870376}",25,0,-94.25697700276531,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.0075, 'e': 0.8295471813034682}",25,0,-100.29844384747528,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
80,False,"{'a': 0.0075, 'e': 0.8253356149096783}",30,0,-156.06151706904768,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
81,False,"{'a': 0.0075, 'e': 0.8210776236051671}",20,0,-84.99287567543286,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
82,False,"{'a': 0.0075, 'e': 0.8167734469008229}",30,0,-97.49564158982288,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
83,False,"{'a': 0.0075, 'e': 0.8124233269054502}",20,15,4.747625962924115,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.0075, 'e': 0.8080275083121519}",20,0,-172.61368978344996,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
85,False,"{'a': 0.0075, 'e': 0.8035862383845647}",20,0,-28.598360555543962,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.0075, 'e': 0.7990997669429512}",20,2,-67.76532384279376,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
87,False,"{'a': 0.0075, 'e': 0.7945683463501467}",30,0,-79.88703111319015,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
88,False,"{'a': 0.0075, 'e': 0.7899922314973651}",20,0,-132.6835282248615,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
89,False,"{'a': 0.0075, 'e': 0.78537167978986}",20,0,-118.14364043744426,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 0.0075, 'e': 0.7807069511324469}",20,8,-33.47050055648396,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
91,False,"{'a': 0.0075, 'e': 0.7759983079148826}",30,0,-3.2814781566961453,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.0075, 'e': 0.7712460149971067}",20,0,-11.548431710284115,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.0075, 'e': 0.7664503396943425}",25,0,-121.0692500277017,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
94,False,"{'a': 0.0075, 'e': 0.7616115517620617}",25,3,-102.75419911862778,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 1}",1
95,False,"{'a': 0.0075, 'e': 0.7567299233808094}",20,13,-7.828369216827121,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.0075, 'e': 0.751805729140895}",25,0,-89.63593520078432,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
97,False,"{'a': 0.0075, 'e': 0.7468392460269461}",20,0,-140.07591078295997,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
98,False,"{'a': 0.0075, 'e': 0.7418307534023283}",20,0,-77.58464552595753,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
99,False,"{'a': 0.0075, 'e': 0.736780532993431}",25,6,-61.8374589968282,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
100,False,"{'a': 0.0075, 'e': 0.7316888688738209}",20,0,-125.8021389898073,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
101,False,"{'a': 0.0075, 'e': 0.7265560474482621}",20,0,-161.0272844130169,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
102,False,"{'a': 0.0075, 'e': 0.7213823574366063}",25,18,-37.18360846195423,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.0075, 'e': 0.7161680898575525}",30,22,10.398479693702182,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.0075, 'e': 0.7109135380122773}",35,0,-292.57405736710393,"{0: 19, 1: 0, 2: 11, 3: 0, 4: 5}",0
